Ep.Num,Ep.Title,Rating ,User Votes, User Rating
8.5,The Autumn of Breakups,7.2,918,  7.2/10 
8.6,Splitsville,7.3,774,  7.3/10 
8.7,The Stamp Tramp,7.2,709,  7.2/10 
8.8,Twelve Horny Women,7.3,745,  7.3/10 
8.9,Lobster Crawl,7.3,727,  7.3/10 
8.10,The Over-Correction,7.7,729,  7.7/10 
8.11,The Final Page: Part One,8.2,"1,098",  8.2/10 
8.12,The Final Page: Part Two,8.5,"1,883",  8.5/10 
8.13,Band or DJ?,7.7,855,  7.7/10 
8.14,Ring Up!,7.9,878,  7.9/10 
8.15,P.S. I Love You,8.1,"1,102",  8.1/10 
8.16,Bad Crazy,7.4,689,  7.4/10 
8.17,The Ashtray,7.6,653,  7.6/10 
8.18,Weekend at Barney's,7.8,776,  7.8/10 
8.19,The Fortress,7.7,642,  7.7/10 
8.20,The Time Travelers,7.8,"1,176",  7.8/10 
8.21,Romeward Bound,7.2,629,  7.2/10 
8.22,The Bro Mitzvah,8.3,943,  8.3/10 
8.23,Something Old,7.3,736,  7.3/10 
8.24,Something New,8.4,"1,363",  8.4/10 
9.1,The Locket,7.8,"1,069",  7.8/10 
9.2,Coming Back,7.9,763,  7.9/10 
9.3,Last Time in New York,7.6,638,  7.6/10 
9.4,The Broken Code,7.3,532,  7.3/10 
9.5,The Poker Game,7.3,467,  7.3/10 
9.6,Knight Vision,7.7,380,  7.7/10 
9.7,No Questions Asked,7,246,  7.0/10

