"Vote","PID3","georgeWBush","barackObama","johnMcCain","cindyMcCain","michelleObama","joeBiden","sarahPalin","hispanics","christianFundamentalists","catholics","feminists","federalGovernment","jews","liberals","middleClassPeople","laborUnions","poorPeople","theMilitary","bigBusiness","peopleOnWelfare","conservatives","workingClassPeople","environmentalists","theUSSupremeCourt","gayMenAndLesbians","asianAmericans","congress","blacks","southerners","illegalImmigrants","richPeople","whites","israel","muslims","hindus","christians","athiests","hillaryClinton","billClinton","condoleezaRice","rushLimbaugh","republicanParty","democraticParty"
"Obama","Other",30,85,60,50,50,50,50,50,50,50,50,40,50,50,60,50,50,60,50,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,70,85,60,50,60,70
"McCain","Republican",50,15,70,50,15,30,85,0,50,50,50,50,50,50,85,30,50,70,40,0,85,85,50,50,0,50,60,50,50,0,50,70,50,0,0,50,50,60,40,70,60,70,40
"McCain","Republican",54,40,55,55,40,40,55,45,51,55,55,20,55,50,55,20,51,55,55,40,53,55,40,55,40,55,15,50,55,15,55,55,55,45,45,55,40,60,50,100,100,85,50
"McCain","Republican",70,30,70,60,40,30,60,60,40,85,60,40,60,50,60,15,60,85,70,60,60,60,60,50,50,70,15,60,60,15,70,60,85,15,50,60,50,20,30,60,50,50,50
"Obama","Other",0,100,60,15,85,60,0,85,30,85,70,40,100,70,100,85,100,100,60,70,100,100,100,60,100,100,0,85,70,0,85,100,100,85,100,100,100,60,40,60,0,15,60
"Obama","Other",50,70,50,50,60,60,40,50,15,60,60,40,50,60,60,50,70,50,30,70,60,70,60,60,60,50,60,50,60,60,50,50,60,50,50,40,60,60,60,30,15,40,50
NA,"Other",85,60,50,NA,70,40,60,50,50,50,30,50,50,40,70,50,70,50,40,70,50,60,40,50,15,50,50,50,50,40,50,50,50,50,50,50,15,50,50,50,50,50,50
"Obama","Other",30,85,60,40,40,50,70,85,40,60,100,40,100,60,100,70,100,100,30,40,85,100,100,50,85,85,40,100,40,50,40,85,60,50,60,50,100,85,100,60,50,50,50
"Obama","Democrat",0,100,40,40,85,70,15,100,70,85,85,85,100,85,100,85,100,100,60,70,60,100,100,100,60,100,85,100,85,60,70,100,85,40,85,100,70,90,100,50,10,10,100
"Obama","Democrat",15,85,30,50,70,70,40,50,50,50,50,60,50,50,60,50,50,50,50,30,50,85,50,60,50,50,60,50,50,30,50,50,40,50,50,50,40,70,70,NA,NA,50,70
"Obama","Democrat",30,85,38,40,90,85,20,75,30,85,85,30,85,85,50,70,85,50,70,60,40,80,85,85,85,85,50,85,40,65,85,85,85,85,60,85,80,60,75,15,10,30,75
"Obama","Democrat",15,85,15,0,85,70,30,70,50,50,40,60,50,50,70,50,85,70,60,60,50,85,70,70,50,85,70,100,50,40,60,50,40,40,50,50,40,85,50,70,0,50,70
NA,"Other",100,0,85,0,0,0,0,100,50,100,100,100,100,0,100,100,100,100,100,100,85,100,100,40,0,100,85,100,100,100,100,100,85,0,0,100,0,0,50,NA,15,30,30
"McCain","Democrat",0,70,60,60,15,60,30,50,70,100,70,30,100,100,85,60,85,85,60,15,60,85,85,70,0,100,60,100,100,0,70,100,30,50,50,100,50,40,0,NA,30,50,70
"Obama","Other",0,85,30,15,100,70,0,60,0,15,85,40,70,70,70,50,60,85,30,50,15,70,70,30,85,50,30,60,60,50,50,40,60,50,70,15,70,70,15,0,0,15,60
NA,"Republican",40,60,50,40,50,NA,40,50,50,60,40,40,50,50,50,40,60,50,50,40,50,50,50,50,40,50,40,40,50,40,40,50,50,50,60,60,50,50,50,50,50,50,50
NA,NA,0,85,40,50,70,NA,0,50,50,50,50,50,50,50,50,60,50,50,40,50,50,60,70,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,70,40,NA,60,70
"Obama","Democrat",0,100,15,50,100,100,15,100,70,85,60,15,70,85,85,85,85,100,40,40,70,100,85,60,50,60,0,85,85,40,70,85,0,50,70,100,50,80,80,75,60,40,40
"Obama","Other",0,70,30,50,70,60,15,70,30,70,70,60,70,70,70,60,70,70,50,60,60,70,85,60,70,70,60,70,70,50,70,70,60,60,70,70,70,40,50,30,0,15,60
"McCain","Republican",60,40,60,60,30,50,85,70,60,85,60,40,70,50,70,70,70,70,40,60,85,70,60,50,60,70,40,70,70,70,50,70,60,70,70,100,50,15,30,60,50,60,50
NA,"Democrat",0,85,0,NA,85,NA,70,0,85,85,40,40,40,40,50,60,60,30,15,60,40,85,85,30,0,40,50,30,50,0,50,60,40,30,40,100,0,70,85,30,50,40,85
"Obama","Democrat",30,85,60,60,85,85,15,100,15,85,100,70,100,85,100,40,100,100,60,40,70,100,100,100,85,85,60,100,70,85,70,85,70,60,85,85,85,100,85,100,40,60,85
"Obama","Other",0,85,30,40,50,70,15,70,60,85,60,40,60,40,85,40,85,85,15,85,85,85,50,50,70,60,50,60,85,50,40,85,60,70,70,60,50,80,100,25,10,5,40
NA,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,40,60,15,40,40
"Obama","Other",40,70,40,40,70,60,40,50,15,50,60,40,50,60,60,70,50,70,40,50,30,60,85,85,50,50,70,50,50,50,50,50,50,50,50,50,50,85,70,50,40,60,70
"Obama","Republican",0,85,40,50,85,50,50,85,85,85,85,50,85,70,100,40,85,70,50,40,60,100,100,70,50,85,40,85,85,40,85,100,70,85,85,100,50,70,85,0,0,40,60
"McCain","Republican",85,85,85,100,85,NA,70,70,70,100,85,85,85,60,70,70,100,100,70,60,70,85,100,100,60,85,85,85,70,100,60,85,85,70,70,85,70,60,50,50,NA,80,80
NA,"Other",50,50,50,50,50,50,60,65,50,50,70,70,50,70,70,70,85,85,50,70,60,85,85,85,70,85,70,50,50,30,50,50,50,50,50,50,40,50,30,NA,70,50,50
NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,85,85,60,70,60
"Obama","Other",0,85,60,50,50,50,70,85,60,85,50,40,50,50,85,60,70,60,60,85,50,85,40,40,85,50,40,85,50,85,85,85,50,50,50,100,0,85,85,60,50,60,70
"McCain",NA,50,50,70,70,50,50,70,6,NA,90,5,30,80,40,70,1,70,100,50,50,6,7,4,70,30,50,50,50,80,50,50,50,NA,5,50,100,50,70,50,70,60,60,40
"Obama","Other",40,85,70,60,60,60,40,100,60,60,50,65,60,85,100,85,60,70,40,40,40,100,100,60,60,60,60,60,50,70,60,60,75,60,60,60,85,80,85,NA,10,65,85
"McCain","Other",70,60,100,100,30,50,85,50,50,50,40,40,50,40,50,60,60,100,30,50,60,100,70,60,70,50,40,50,85,40,40,50,50,50,50,50,50,15,0,85,60,70,60
NA,"Republican",40,40,100,50,40,40,50,50,50,50,30,15,50,50,50,50,50,85,40,40,60,50,50,50,50,50,40,50,50,30,40,50,50,50,50,50,50,40,50,60,30,60,40
